"","Accuracy","Sensitivity","Specificity","AUC"
"dtree_metrics",0.781308411214953,0.866043613707165,0.654205607476635,0.820057064663581
"dtree_final_metrics",0.824299065420561,0.890965732087227,0.724299065420561,0.909380731941655
"dtree_cv_metrics",0.846728971962617,0.894080996884735,0.775700934579439,0.91810056191225
"dtree_repeated_cv_metrics",0.846728971962617,0.894080996884735,0.775700934579439,0.91810056191225
"dtree_boot_metrics",0.846728971962617,0.894080996884735,0.775700934579439,0.91810056191225
"rf_metrics",0.835514018691589,0.919003115264797,0.710280373831776,0.926238099397328
"rf_final_metrics",0.839252336448598,0.909657320872274,0.733644859813084,0.922322182432235
"rf_cv_metrics",0.835514018691589,0.91588785046729,0.714953271028037,0.921543366232859
"rf_repeated_cv_metrics",0.833644859813084,0.912772585669782,0.714953271028037,0.922758901796372
"rf_boot_metrics",0.833644859813084,0.919003115264797,0.705607476635514,0.922751623140303
"knn_metrics",0.820560747663551,0.91588785046729,0.677570093457944,0.68599877718578
"knn_cv_metrics",0.813084112149533,0.894080996884735,0.691588785046729,0.912685241796955
"knn_repeated_cv_metrics",0.82803738317757,0.906542056074766,0.710280373831776,0.910887413747926
"knn_boot_metrics",0.813084112149533,0.894080996884735,0.691588785046729,0.912685241796955
